# adversarial audit (2026-07-30) of the cross-POS 'same' verdicts in
# lemma.equivalences.seed.tsv - the mutation-pair and unclassified families,
# 202 pairs; the s'-comparative, n'-verbal and suffix-variant families were
# not audited (structurally derivational, lower risk). Each pair was read
# against the printed entries in cregeen-nvh. refute = two lexemes conflated
# (the verdict in the seed is flipped to distinct); unsure = the print does
# not settle it. 77 refuted, 4 unsure, 121 confirmed.
idA	idB	verdict	evidence
cant.n	chant.v	confirm	cant s.m. 'an auction' and chant 'did auction' (past of cant v. 'bid at auction') are one root in Cregeen's family C-44.
carnane.x	charnane.n	confirm	carnane, printed variant of carn "a heap or pile" (C-53), and yn charnane "the heap, &c" (C-53) are radical and lenited forms of the same noun.
carr.v	charr.n	refute	carr.v is the printed carr v. 'twist, twine, warp' (C-48), but charr.n is 'yn charr' = 'the tune' (C-55), the lenited form of the noun carr 'a tune'; twist-verb and tune-noun are different lexemes, so charr belongs with carr.n.
cast.x	chast.v	refute	cast.x is the pos-less printed cast, a variant of carit "twisted" (from cas "twist", C-48), while chast.v is "did quell or conquer", the mutated past of the different verb cast v. "quell, defeat" (C-74, proper target cast.v).
cayrn.n	chayrn.v	refute	cayrn.n is 'a trumpet, a horn to blow, a bugle' s.m. (C-81), but chayrn.v is 'did blow the trumpet', past of the verb cayrn 'blow or sound the trumpet' whose own id cayrn.v exists.
chappagh.n	chappee.x	confirm	yn chappagh 'the captive' (pl. yn chappee) and dy chappee 'of captives' are one captive lexeme in family C-45.
cheet.v	er-jeet.x	confirm	çheet "coming" (v., C-96) and er-jeet "hath, &c. come or arrived" (pt., C-96) are the verb 'come' and its perfect participle, one paradigm.
chere.n	kere.v	confirm	'yn chere' = 'the comb' is the lenited noun kere s.f. 'a comb, wax' and kere v. 'comb' is the same word verbed, both family K-50 with matching sense (kere.n would be the exact-class target).
chiaull.n	kiaull.v	refute	chiaull.n is "yn chiaull" s. "the clamour, noise; music", the mutated NOUN kiaull "clamour, noise, din" (proper target kiaull.n), while kiaull.v is the verb entry "make clamour or noise" (both K-82 but different entries).
chionn.a	kionn.v	refute	chionn.a is çhionn a. 'tight, fast, strait, speedy' (C-117), but kionn.v is 'buy, purchase' (K-93, whose past is chionn 'did buy'); tight-adjective and buy-verb are unrelated lexemes sharing only the mutated form.
chionnit.x	kionn.v	refute	chionnit.x keys the printed çhionnit pt. (C-117, s'çhionnit 'how tightened or straitened', from çhionn 'tight'); kionn v. (K-93) is 'buy, purchase' - tightened vs buy, the surface collision with kionnit 'bought' misled the note.
chleaee.x	chleiee.v	confirm	dy chleaee "to harrow" and chleiee "did harrow" (both C-145) are lenited forms of the one harrow verb cleaiee/cleiee.
chleayn.v	cleayn.n	confirm	chleayn v. 'did allure, incline, or entice' is the lenited past of cleayn 'entice' (C-147), the same word as cleayn s.m. 'enticement, allurement' in the same family.
chleiee.v	cleiee.x	confirm	chleiee v. "did harrow" and the pos-less cleiee entry, printed variant of cleaiee v. "harrow", are the same verb in family C-145.
chlein.a	clein.n	confirm	Both are C-154: clein s.m. 'the clan, the surname' and dy chlein a. 'of surname', its genitive; the other printed clein (C-145 'harrows', see cleaiyn) is not involved.
chlein.x	clein.n	refute	The printed chlein entry is a cross-reference 'See chleayn' = 'did allure, incline, or entice' (C-147 entice family); clein.n is 'the clan, the surname' (C-154) - entice vs clan (the note's 'harrows' is yet another clein, C-145).
chleiy.n	cleiy.x	unsure	chleiy.n is yn chleiy "the hedge" (lenited cleigh s.m., C-153), not "dug/dig" as the note claims; the printed bare cleiy is a variant headword under BOTH cleigh "a hedge" (s.m.) and cleigh "dig, delve, quarry" (v.), and cleiy.x is absent from cregeen.tsv, so the print cannot settle which cleiy entry the id names (hedge reading = same, dig reading = different lexeme).
chleiy.v	cleiy.x	confirm	'dy chleiy' = 'to dig, delve' (C-153) is the lenited form of cleiy, printed as a variant of cleigh whose verb entry 'dig, delve, quarry' is in the same family C-153.
chliaghtey.n	cliaghtey.v	refute	chliaghtey.n is "yn chliaghtey" s. "the custom, habit, or practice", the mutated NOUN cliaghtey s. m. "practice, habit, custom, fashion" (proper target cliaghtey.n), while cliaghtey.v is the separate verb entry (C-161).
chloghey.v	cloghey.x	confirm	Both are the C-170 chase verb: dy chloghey 'to chase' and cloghey v. 'chasing' (printed variant of clo 'chase'); no bait lexeme exists in the print.
chloie.v	cloie.n	confirm	chloie 'did play or boil' and cloie 'a play' / v. 'play, boil' are one C-173 family under lenition.
chlooie.x	clooie.n	confirm	yn chlooie "the small feathers" and clooie "small feathers, fur" (s.f., both C-176) are lenited and radical forms of the same noun.
chluin.v	cluin.x	confirm	chluin 'didst thou hear' is the lenited form of cluin, a printed variant of cluinn v. 'hear', all in family C-144.
choamr.v	coamree.x	confirm	choamr v. "did clothe" is the mutated past of coamr/coamree v. "clothe, dress", both family C-185.
choar.n	coar.a	refute	choar.n is 'yn choar' the twister (C-188, radical coar s.f. 'a twister'), but coar.a is the adjective 'agreeable, sociable, civil, indulgent' (C-187); two distinct printed coar lexemes.
choardail.n	coardail.v	confirm	yn choardail 'the agreement' and coardail v./s.m. 'an agreement' are one C-189 lexeme.
choayr.n	coayr.a	refute	choayr.n is yn choayr "the bittern" (bird noun, family C-194), but coayr.a is the adjective coayr "odd" (Num. iii. 48, family C-193); two unrelated lexemes.
chombaas.v	combaase.x	confirm	chombaas 'did encompass' is the lenited past of combaas v. 'compass, surround, encircle', and printed combaase is its variant spelling (also s.m. 'a compass, circular route'), all family C-212.
chood.v	coodagh.n	refute	chood.v is chood v. "did cover", past of the verb cood "cover" (C-232), while coodagh.n is the NOUN coodagh s. m. "a covering"; verb and derived noun are different entries/lexemes.
chood.v	coodee.x	confirm	Both are the C-232 cover verb: chood 'did cover' and coodee.x carries the cha good/cha goodee 'not cover' negative forms of the same verb.
choodee.a	coodee.x	confirm	choodee a.d. 'of a cover or covering' and coodee.x (cha good 'not cover', forms of cood v. 'cover') both belong to the C-232 cover family.
chooidsave.v	cooidsave.a	confirm	my chooidsave "if vouchsafe" (C-235) is the lenited form under my of the single cooidsave 'vouchsafe' lexeme of family C-235 (radical cooidsave a., s'gooidsave "more or most vouchsafe").
chooilleen.v	cooilleen.n	confirm	chooilleen 'did fulfil, perform, reward, compensate' is the lenited past of cooilleen (C-238), whose noun entry 'recompence, compensation' is the same word's verbal noun in the same family.
chooilleeney.n	cooilleeney.v	refute	chooilleeney.n is "e chooilleeney" s. "his fulfilment, his revenge", the mutated NOUN cooilleeney s. m. "fulfilment, revenge" (proper target cooilleeney.n), while cooilleeney.v is the verb entry "fulfilling, performing, recompensing" (C-238).
chooilley.x	dy-chooilley.a	confirm	Both ids name the printed dy-chooilley / dy chooilley 'every' (D-122 and O-64); chooilley.x just treats dy as particle.
chooin.v	cooin.n	confirm	Both are family C-239 remember: chooin 'did remember or recollect' and cooin s., radical of the s'cooin-lhiam 'I remember' group (the note's 'help' gloss is the separate C-246 cooin, which neither id keys).
choon.v	coon.a	refute	choon.v is choon "did help, aid, assist" (preterite of coon v. 'help', family C-246), but coon.a is coon "narrow, not wide" (a., family C-245); help verb conflated with the narrow adjective.
chooney.n	cooney.a	refute	chooney.n is 'yn chooney' = 'the help, aid, assistance' (C-246, lenition of cooney s.m. 'help'), but cooney.a is the printed cooney a. pl. 'narrow, strait' (C-245, plural of coon); help-noun and narrow-adjective are unrelated lexemes.
choonrey.v	coonrey.x	confirm	dy choonrey v. "to exchange, barter" is the lenited infinitive of the pos-less coonrey verb stub (printed "coonrey, v."), both family C-248 (the noun "an exchange" is separately coonrey.n).
choontey.v	coontey.x	confirm	Both are the C-249 count family: dy choontey 'to reckon, account, cypher' and coontey the pos-less verbal-noun entry ('an account, reckoning' is the same word) under coont 'count'.
chooyl.x	cooyl.n	confirm	ny chooyl pre. 'behind, aback' and cooyl s. 'back' (e chooyl 'his back part', cooyl adv. 'behind, aback') are one C-251 word.
chorvaal.x	corvaal.n	confirm	corvaal "confusion, chaos" (s.f.) and yn chorvaal "the confusion, chaos" (both C-268) are radical and lenited forms of the same noun.
chosn.v	cosne.x	confirm	chosn 'did gain or gained, did profit or earn' is the lenited past in family C-271 (cosney 'gain'), and printed cosne is a bare entry in the same C-271 family with variant chosne.
chowree.n	cowree.a	refute	chowree.n is "yn chowree" "the sowins" (cowree s. f. "sowins, flummery", C-281, proper target cowree.n), while cowree.a is cowree a. d. "of a mark or marks, or signifying", the genitive of cowrey "mark" (C-280).
choyrl.v	coyrlee.x	confirm	Both are C-284: choyrl 'did advise or counsel' and coyrlee, Cregeen's printed variant of coyrl 'advise, counsel, persuade'.
choyrlee.a	coyrlee.x	confirm	choyrlee and coyrlee are both printed a.d. 'of advice or counsel' plus coyrl/coyrlee variants, all family C-284 - a straight lenition pair.
chraid.v	craid.n	refute	chraid.v is chraid "did mock, deride" (preterite of the separate craid v. "mock, scoff" entry, id craid.v), but craid.n is the noun craid "mockery, scoffery, irony" (s.f.); verb form attached to the noun entry.
chramp.n	cramp.a	refute	chramp.n is 'yn chramp' = 'the plague' (C-295, lenition of cramp s.m. 'plague'), but cramp.a is the printed cramp a. 'intricate, complicated' (C-294); plague-noun and intricate-adjective are different lexemes.
chred.v	creid.x	confirm	chred v. "did believe" is the mutated past of cred v. "believe, give credit", with creid its printed pos-less variant, all family C-313.
chred.v	kred.n	refute	chred.v is 'did believe or believed' (C-313, past of cred 'believe, give credit'), but kred.n is 'a grunt, a hem, the act of discharging the breath with force' s.m. (K-105), whose mutated form is 'yn chred'; 'creed' is a hallucination.
chreear.v	creear.n	confirm	chreear 'did sift or sifted' and creear 'a sieve, searce' / v. 'sift' are one C-315 family.
chreen.v	creen.a	refute	chreen.v is chreen "did ripen, &c." (preterite of the separate creen v. "wither, ripen" entry, id creen.v), but creen.a is the adjective creen "ripe, withered"; verb form attached to the adjective entry.
chreogh.x	creoï.a	confirm	Printed chreogh is a variant of chreoï v. 'did harden' (lenited past of creoi v. 'make hard or harden') and creoï a. is 'hard, obdurate', both family C-323 of the same root word creoi; note's 'spelling variant' rationale is wrong but the entries share one root and sense (verb-past vs adjective conversion).
chrink.n	croink.x	confirm	e chrink/e chroink s. pl. "his hills" and croink "hills, mounts" (variant of crink) are both the plural of cronk "a hill", family C-345.
chront.v	cront.n	refute	chront.v is 'did knot' (C-350), past of the verb cront 'knot' whose own id cront.v exists; cront.n is the noun 'a knot'; 'predicament' appears nowhere in either entry.
chroo.v	croo.n	confirm	chroo 'did create, created' and croo s. 'creation' are one C-351 family (the separate croo 'crawling in grubs, maggots' C-352 is not involved).
chrou.n	crow.v	refute	chrou.n is yn chrou "the horse-shoe; the iron circle of a wheel" (noun, C-357), but crow.v is the verb crow "hover" (C-360, inflections crowagh/crowee match the id); horseshoe noun conflated with the hover verb.
chrow.n	crow.v	refute	chrow.n is 'yn chrow' = 'the bunch or bush of shrub growing on one stem' (C-359, lenition of crouw s.f.; a second yn chrow is variant of yn chrou 'the horse-shoe' C-357), but crow.v is the printed crow v. 'hover' (C-360); bush/horseshoe nouns and hover-verb are different lexemes.
chroym.x	croym.a	refute	chroym.x is the printed variant of chroymm v. "did stoop or bow", past of the verb croymm "bow, bend, stoop" (proper target croymm.v), while croym.a is the ADJECTIVE croym "stooped/bent" (cf. s'croym "how stooped or bent forward"), both C-361 but different entries.
chruinnaght.v	cruinnaght.x	confirm	Both are the C-365 stem: er chruinnaght 'hath besieged' is er + lenited cruinnaght, and cruinnaght is the printed variant of cruinagh s. 'the close multitude'; same verbal-noun lexeme.
chruisht.n	cruishtin.x	confirm	yn chruisht 'the pitcher or pail' and cruishtin (printed variant of cruisht) are one C-367 word.
chryss.v	cryss.n	refute	chryss.v is chryss "did gird or bind with belt, tape, or girdle" (preterite of the separate cryss v. "gird" entry, id cryss.v), but cryss.n is the noun cryss "belt, tape, inkle, girdle" (s.f.); verb form attached to the noun entry.
chullee.x	cullee.n	confirm	Both ids span the same three-entry homonym set: the three 'yn chullee' entries ('the colour' C-386, 'the aspect' C-387, 'the tackle' C-388) are exactly the lenited counterparts of the three cullee entries ('a colour or banner', 'the aspect of the air', 'the tackle, furniture, or apparatus') that cullee.n's senses cover.
chummal.n	cummal.v	refute	chummal.n is "yn chummal" s. "the holding or dwelling", the mutated NOUN cummal s. m. "a dwelling, a holding" (proper target cummal.n), while cummal.v is the verb entry "holding, dwelling, inhabiting" (C-390).
churmal.v	curmal.x	confirm	Both are C-400 (curm 'charge or duty; enjoin'): er churmal 'hath charged' is er + lenited curmal, the printed variant of curmaghey 'charging, enjoining'.
churrym.n	currym.x	confirm	e churrym 'his duty, his charge' and currym s.m. 'duty, charge' are one C-400 lexeme.
chymsagh.v	chymsee.x	confirm	dy hymsagh "to gather together, to accumulate" and hymsee, variant of hyms "did gather, gathered" (both C-128), are lenited forms of the one gather verb (chymsaghey).
chyrmee.x	hyrmagh.v	confirm	chyrmee.x covers hyrm 'did dry, dried' and its variant hyrmee, and hyrmagh.v is 'dy hyrmagh' = 'to dry' (variant dy hyrmaghey), all lenited forms of the same 'dry' verb in family C-130.
cleaiee.v	cleiee.a	refute	cleaiee.v is the verb "harrow" (C-145), while cleiee.a is cleiee a. d. "of hedge or hedges", the genitive of cleigh "hedge" (C-153); the note's gloss-glue is a spurious spelling collision.
cleaiee.v	cleiee.n	refute	cleaiee.v is the verb 'harrow' (C-145, variant cleiee), but cleiee.n is the printed cleiee s. pl. 'hedges' (C-153); harrow-verb and hedges-noun are different lexemes.
cleragh.n	cleree.a	confirm	cleragh s.m. 'a clerk' (pl. cleree) and cleree a.d. 'of a clerk or clerks' are one C-156 lexeme (a homograph cleragh 'piece in the chimb of a wooden vessel' C-157 also feeds cleragh.n but the clerk link is genuine).
clo.v	cloit.x	confirm	clo "chase, chasing" (v., C-170) lists cloit as its participle, and the bare cloit pt. entry sits in the same chase family C-170; one verb and its participle.
coadeyder.n	fer-choadee.x	confirm	coadeyder s.m. 'a protector' (C-182) and fer choadee are printed as an explicit variant relation within the one C-182 entry, exactly as the note says.
coair.x	coayr.a	refute	coair.x is coair adv. "near, nigh" (C-184), while coayr.a is coayr a. "odd" (C-193, Num. iii. 48), whose printed variant spelling coair belongs to "odd", not "near".
connaasagh.a	connysson.x	confirm	connysson is Cregeen's printed variant of connaasagh (C-221 'taunting, scoffing, disdainfully sneering'; also a. and s.m. entries in the same family).
connaasagh.n	connysson.x	confirm	connysson is printed as a variant of connaasagh 'taunting, scoffing' and connaasagh.n is 'a disdainful, teasing, gibing person' - one C-221 family.
coodagh.n	coodee.x	refute	coodagh.n is the noun coodagh "a covering" (s.m., C-232), but coodee.x is the printed cha goodee entry, variant of cha good "not cover" (negative of the verb cood "cover", C-232); a verb form of 'cover' attached to the noun 'a covering'.
cooish.n	gooish.x	refute	cooish s.f. 'a cause, case, affair' (C-242), but gooish.x is "ny 'gooish" p.p. 'without him or it' (F-83, an elided form of fegooish 'without'), not a nyn-eclipsis of cooish; noun 'affair' and prepositional pronoun 'without him' are different lexemes.
coonlagh.n	goonlagh.v	refute	coonlagh.n is s. f. "straw" (C-247, whose real eclipsed form "nyn goonlagh" already feeds it), while goonlagh.v is the separate entry goonlagh v. "abluting washing" (family O-68, the g-prefixed form of oonlaghey "wash").
corrag.x	currag.n	confirm	corrag.x names the pos-less corrag entry that is Cregeen's printed variant of currag 'a bundle of osiers' (C-404); the separate corrag s.f. 'a hand in contempt, a knob' (C-261) keeps its own id corrag.n.
craideyder.n	craidoilagh.a	confirm	craideyder 'a mocker, scoffer' and craidoilagh (printed as its variant, also a. 'in a scoffing, mocking manner') are one C-289 family.
cred.v	creid.x	confirm	creid is a printed variant of cred "believe, give credit" (v., C-313); same believe verb.
cum.x	cummee.a	refute	cum.x is cum/cumm v. 'hold, keep, retain, sustain' (C-390), but cummee.a spans two printed a.d. entries, 'of holding' (C-390) and 'of form or shape' (C-393, from cummey 'shape'), so the blanket merge conflates the shape lexeme with the hold verb.
daa.a	ghaa.n	confirm	daa a. "two, the dual number" and "e ghaa" s. "his two" is the same numeral mutated after the possessive, both family D-2.
doo.a	ghoo.n	refute	doo.a is 'black, dark' (D-62), but ghoo.n is 'e ghoo' his word, his fame (G-121, lenited goo 'word'); the black lexeme's lenited entry is ghoo v. 'did blacken', not this noun.
doo.v	dooys.x	refute	dooys (D-1) is 'give me, or give to me. The em. of dou' - the emphatic prepositional pronoun 'to me' - while doo.v is the verb 'blacken, darken' (D-62) whose future dooys merely collides; the note's 'place-name compounds' is fiction.
doo.v	ghoo.n	refute	doo.v is the verb doo "blacken, darken" (D-62, preterite ghoo "did blacken"), but ghoo.n is e ghoo "his word, his fame" (lenited goo 'word', family G-121); blacken verb conflated with the word noun.
dorchagh.n	torchee.x	confirm	nyn dorçhagh 'your torment' (eclipsed torçhagh noun) and cha dorçhee/cha dorçh 'not torment' (eclipsed torçh verb) are both family T-119, the same 'torment' word as noun and verb.
dorraghys.n	dorrid.x	confirm	dorraghys s. m. "darkness" with dorrid its printed variant, and dorrid.x fed by "dy ghorrid/dy ghorraghys" "of darkness", all family D-77.
dreeym.x	ghreeym.n	confirm	Both are D-91 'the back': dreeym (printed variant of dreem) and e ghreeym 'his back', its lenited possessive form.
driaght.x	ghriaght.n	refute	driaght is 'chain' (D-95: driaght v. 'chain', driagh/driaght s., with e ghriaght 'his chain' feeding driaght.n); ghriaght.n keys the G-section e ghriaght 'his group, or drove' (G-156, lenited griaght 'drove') - chain vs drove.
drogh-yannoo.n	drogh-yantys.x	confirm	drogh-yantys is a printed variant of drogh-yannoo "evil doings" (s.m., families D-102/J-19); same noun.
druight.x	gruight.n	confirm	The printed druight at G-171 is a bare variant cross-reference under gruight (the family of 'yn ghruight' = 'the measles'), which is what class-x druight.x names, distinct from druight.n s.m. 'dew' (D-111) which has its own id.
eadagh.v	eadee.x	confirm	eadagh.v (geadagh/dy eadagh v. "jealous, being jealous / to be jealous") and eadee.x (ead v. "be jealous" with variant eadee) are the same verb family E-4.
edd.n	idd.a	confirm	idd a.d. 'of a hat or hats' (E-26) and 'of a nest or nests' (E-27) is the genitive of edd 'a hat'/'a nest'; the ids collide over the same two families on both sides.
eill.v	feill.n	refute	The printed eill v. entry (E-55) is 'arm, fit with armour or arms' (the eilley 'armour' verb); feill (F-86) is 'flesh, butcher's meat' - the lenited flesh forms (dty eill) already map into feill.n, but the eill.v entry is the armour verb, not flesh.
endeilagh.n	fendeilagh.a	refute	endeilagh.n is dty endeilagh "thy defender" (noun, F-94), which belongs with the separate fendeilagh s.m. "a defender" entry (id fendeilagh.n), not with fendeilagh.a, the distinct bare adjective entry in the family.
enm.v	enmys.n	refute	enm v. 'name' (E-74), but enmys.n names the printed enmys s.m. 'as much as that it could be named, a little more than nothing', a lexicalized quantity noun; the matching verb entry is enmys v. 'name' (id enmys.v, a separate seed row), so this pair links the wrong enmys entry.
enn.v	enney.n	refute	enn.v is Cregeen's enn v. "feel" (E-69, whose paradigm ennym/ennys feeds the id), while enney.n is enney s. m. "knowledge, as respects knowing one person from another" (E-73); the E-73 variant "enn, v. s. to know" already folds into enney.n, so the entries gloss different lexemes.
enys.x	fen.v	confirm	Both are F-93 'ask': my en / my enys 'if ask or enquire' is the f-dropped lenited form of fen 'ask, enquire'.
er-egin.x	er-eigin.n	confirm	er-egin is printed as a variant of er-eigin 'on force' (E-46/E-77) - one 'by force' word.
fod.v	foddee.x	confirm	foddee.x is the adv. entry foddee "may be, perhaps, peradventure" (F-148), the impersonal use of the same modal fod whose verb entry foddee "may or might, can or could" sits in the same family, and Cregeen's own note ties the adv. example back to foddee v.
fod.x	foddagh.v	confirm	fod is a printed variant of fodd v. 'may, can' (F-148) and foddagh v. 'might, could' (with dy voddagh 'that could') is the conditional of the same modal in the same family.
gannidys.n	ghannidys.v	refute	gannidys.n is the noun "mockery, scorn, derision", while ghannidys.v is the "e ghannidys" v. entry "his despising, scorning", the possessed form of the separate printed gannidys v. entry (proper target gannidys.v, which exists as its own id).
gard.n	ghard.v	refute	gard.n is the noun 'guard' s.m. (G-20), but ghard.v is 'cha ghard' did or didst not guard, negative past of the verb gard 'guard' whose own id gard.v exists.
geill.n	gheill.v	confirm	gheill 'did spring' (G-48) is the lenited past of geill v. 'spring', and geill.n hosts the matching geill s.m. 'a spring of water' (G-48); note geill.n also hosts the homograph 'heed, notice' (G-49), and the note's 'Gell surname' gloss is baseless.
geinnagh.n	geinnee.a	confirm	geinnagh "sand" (s.f., G-50) lists geinnee as its plural/genitive, and geinnee "of sand" (a. d., G-50) is that genitive of the same noun.
geir.n	gheir.v	refute	geir s. belongs to family G-187 (geyre 'sharp/sour': dy gheir 'of smart or pain', bainney geir 'sour milk'), but gheir.v is the printed gheir v. 'did crow' (G-52, lenited past of geirr 'crow'); sour/pain noun and crow-verb are unrelated lexemes.
gerjagh.n	gerjee.x	refute	gerjagh.n is the NOUN gerjagh s. m. "comfort, consolation, happiness", while gerjee.x is the VERB gerj/gerjee "comfort, console" (G-53); the verb's conditional inflection gerjagh merely collides with the noun's spelling.
gerjee.x	gherjee.v	confirm	Both are the G-53 comfort family: gerjee (pos-less entries beside gerj v. 'comfort, console') and gherjee 'did comfort, comforted'.
gerrit.x	gherrid.n	confirm	gerrit is printed as a variant of gerrid (G-63) and yn gherrid is 'the short time' - one 'short/brevity' word.
ghiar.x	giar.v	confirm	ghiar "did cut. See yiare" (G-62) is the lenited preterite of giar "cut" (v.); same cut verb.
ghiar.x	giare.a	refute	ghiar is printed as 'did cut. See yiare' (G-62, lenited past of the cut verb), but giare.a is giare a. 'short, momentary, brief' (G-63); the cut verb and the short adjective are different families and different lexemes.
ghiarrey.a	giarrey.v	refute	ghiarrey.a is a. pl. "short", the mutated plural of giare "short" (G-63, proper target giarrey.a "short" a. pl.), while giarrey.v is the verb "cutting, hewing" (G-62).
ghib.a	gib.n	confirm	Both are G-114 forms of gob 'mouth/beak': gib 'beaks' (s. pl.) / 'of mouths in contempt' and e ghib 'of his mouth' (see gob); same plural/genitive stem.
ghioot.v	gioot.n	confirm	ghioot 'did gift, gifted' and gioot 'a gift' / v. are one G-75 family under lenition.
ghlass.v	glass.a	refute	ghlass.v is ghlass "did lock, or make sure" (preterite of glass v. "lock or make sure", family G-85), but glass.a is the adjective glass "pale, gray, pale blue; green, verdant" (G-84); lock verb conflated with the colour adjective.
ghlassey.v	glassey.a	refute	ghlassey.v is 'dy ghlassey' = 'to embrace, to lock' (G-85, from glass 'a lock'), but glassey.a is glassey a. pl. 'pale, gray, green' (G-84, plural of glass the colour); lock-verb and colour-adjective are different lexemes.
