# unanimous LLM resolutions (>= 10 occurrences, one id-set) - human-skim, then adopt into lemma.overrides.tsv
# 2026-08-02: regenerated from the merged sidecar after the corpus-wide verification sweep
# (freshness backlog + refused giants swept exhaustively; K/N sampled = N-K lines stayed unsure)
form	lemmaIds	evidence
chreoi	creoi.a	29/29 LLM-unanimous
chruinnaght	cruinagh.n	16/16 LLM-unanimous
chustey	custey.a	22/22 LLM-unanimous
coodagh	coodagh.n	112/112 LLM-unanimous
coodit	coodit.x	77/77 LLM-unanimous
coonee	coonee.a	13/13 LLM-unanimous
creoi	creoi.a	112/112 LLM-unanimous
cronk	cronk.n	253/253 LLM-unanimous
croymmey	croymmey.v	83/83 LLM-unanimous
cuirr	cuirr.v	92/92 LLM-unanimous
doll	doll.v	20/35 LLM-vote sampled
dooin	dooin.v,dooin.x	3044/3044 LLM-unanimous
dooys	dooys.x,dou.x	498/498 LLM-unanimous
dâsyn	dasyn.x	13/13 LLM-unanimous
eayn	eayn.n	177/177 LLM-unanimous
echeysyn	echey.x	541/541 LLM-unanimous
eeit	eeit.x	43/43 LLM-unanimous
eie	eie.n,eie.v	69/70 LLM-vote sampled
eill	feill.n	374/374 LLM-unanimous
eilley	eilley.n	20/20 LLM-unanimous
eiyr	eiyr.v	56/56 LLM-unanimous
eiyrit	eiyrit.x	52/52 LLM-unanimous
euish	eu.x	283/283 LLM-unanimous
eïe	eie.n,eie.v	27/27 LLM-unanimous
feeagh	feeagh.a,feeagh.n	48/48 LLM-unanimous
follym	follym.a	76/76 LLM-unanimous
garroo	garroo.a	44/44 LLM-unanimous
gearey	gearey.v	27/27 LLM-unanimous
gerjagh	gerjagh.n	274/274 LLM-unanimous
ghaa	daa.a,daa.x,ghaa.n	282/283 LLM-vote sampled
gharey	garey.n	79/80 LLM-vote sampled
gheiney	deiney.n	493/493 LLM-unanimous
gheinnagh	geinnagh.n	20/20 LLM-unanimous
ghenney	genney.n,ghenney.n	14/15 LLM-vote sampled
ghennish	gennish.a	10/10 LLM-unanimous
gherjoil	gherjoil.a	11/11 LLM-unanimous
ghlass	glass.a,glass.n,glass.v	14/14 LLM-unanimous
ghloyroil	gloyroil.a	20/20 LLM-unanimous
ghooie	dooie.a	64/64 LLM-unanimous
ghooin	dooin.v,dooin.x	11/11 LLM-unanimous
ghooney	dooney.v	13/13 LLM-unanimous
ghraysoil	graysoil.a	34/34 LLM-unanimous
ghree	cree.n	16/16 LLM-unanimous
gimman	imman.v	24/24 LLM-unanimous
goair	goayr.n	67/67 LLM-unanimous
goo	goo.n	1089/1089 LLM-unanimous
gooish	cooish.n	12/12 LLM-unanimous
gooyl	gooyl.n	36/36 LLM-unanimous
gosh	cosh.x	10/12 LLM-vote sampled
gred	cred.v,creid.x	15/15 LLM-unanimous
haagh	saagh.n	15/15 LLM-unanimous
haase	saase.n	24/26 LLM-vote sampled
haaue	taau.a,taaue.n	10/12 LLM-vote sampled
hack	sack.n	11/11 LLM-unanimous
harrin	harrin.v,harrin.x	58/58 LLM-unanimous
harrym	harrym.x	45/45 LLM-unanimous
heu	cheu.n	99/100 LLM-vote sampled
hey	tey.n	24/24 LLM-unanimous
hoar	soar.n,soar.v	14/18 LLM-vote sampled
hooin	hooin.x	129/129 LLM-unanimous
hoor	toor.n	13/14 LLM-vote sampled
hurr	surr.v	21/21 LLM-unanimous
hym	hym.x	205/205 LLM-unanimous
hyms	hyms.x	32/32 LLM-unanimous
ingan	ingan.n	30/30 LLM-unanimous
jeeig	jeeg.x	14/14 LLM-unanimous
jeeragh	jeeragh.a	311/311 LLM-unanimous
jirree	irree.v	23/24 LLM-vote sampled
lhig	lhig.v	2623/2623 LLM-unanimous
lout	lout.n,lout.v	31/31 LLM-unanimous
mayrn	mayrn.x	60/60 LLM-unanimous
milley	milley.n	20/26 LLM-vote sampled
moal	moal.a	129/130 LLM-vote sampled
n'gholl	er-n'gholl.v	363/363 LLM-unanimous
oast	oast.a	74/74 LLM-unanimous
ocsyn	oc.x	678/678 LLM-unanimous
ollan	ollan.n	48/48 LLM-unanimous
ollick	ollick.n	106/106 LLM-unanimous
orrinyn	orrin.x	24/24 LLM-unanimous
orroosyn	orroo.x	229/229 LLM-unanimous
orryms	orrym.x	125/125 LLM-unanimous
ort	ort.x	1342/1342 LLM-unanimous
orts	ort.x	75/75 LLM-unanimous
ouyr	fouyr.n	94/94 LLM-unanimous
oyr	oyr.n	956/956 LLM-unanimous
rass	rass.n,rass.v	173/173 LLM-unanimous
raue	raue.a,raue.n	75/95 LLM-vote sampled
rea	rea.a,rea.n	213/213 LLM-unanimous
saillym	saillym.x	38/38 LLM-unanimous
sniemmit	sniemmit.x	26/26 LLM-unanimous
sollys	sollys.a	217/217 LLM-unanimous
sooree	sooree.n,sooree.v	30/30 LLM-unanimous
surr	surr.v	14/14 LLM-unanimous
tannys	tannys.n	18/18 LLM-unanimous
theihll	seihll.n	18/772 LLM-vote sampled
thollee	thollee.x	18/18 LLM-unanimous
thooilley	thooilley.n	99/99 LLM-unanimous
thooit	thooit.x	24/24 LLM-unanimous
thurn	thurn.n	10/14 LLM-vote sampled
toiggalagh	toiggalagh.a	26/26 LLM-unanimous
tooill	sooill.n	13/13 LLM-unanimous
traaghyn	traa.n	106/106 LLM-unanimous
uillin	uillin.n	12/12 LLM-unanimous
v'ee	v'ee.x	666/666 LLM-unanimous
vaag	faag.v	20/20 LLM-unanimous
vaarle	baarle.n	88/88 LLM-unanimous
vaghey	baghey.v	212/213 LLM-vote sampled
valjyn	valjyn.n	10/10 LLM-unanimous
veaghey	beaghey.n,beaghey.v	219/219 LLM-unanimous
vei	veih.x	206/209 LLM-vote sampled
veisht	beisht.n	46/46 LLM-unanimous
veiyn	beiyn.n	12/12 LLM-unanimous
ver	cur.v	1625/1630 LLM-vote sampled
verym	cur.v	42/42 LLM-unanimous
vhow	bhow.n	39/39 LLM-unanimous
viallys	biallys.n	30/30 LLM-unanimous
vian	mian.n	22/22 LLM-unanimous
viljyn	viljyn.n	19/19 LLM-unanimous
vingys	bingys.n	13/13 LLM-unanimous
vishagh	bish.v,vishagh.v	15/15 LLM-unanimous
vishaghey	bishaghey.v,vishagh.v	156/156 LLM-unanimous
vlaa	blaa.n	22/23 LLM-vote sampled
voalley	boalley.n,boalley.x	189/189 LLM-unanimous
voddagh	fod.x,foddagh.v	810/810 LLM-unanimous
voir	moir.n	429/429 LLM-unanimous
voirey	boirey.n,boirey.x	47/47 LLM-unanimous
volley	molley.a,molley.v	136/140 LLM-vote sampled
vooar	mooar.a,mooar.v,mooar.x	666/666 LLM-unanimous
vow	fow.v	250/263 LLM-vote sampled
vrasnaghey	brasnaghey.v	150/150 LLM-unanimous
vroojit	broojit.a	10/10 LLM-unanimous
váys	vaaish.n	11/11 LLM-unanimous
warree	mwarree.n	34/34 LLM-unanimous
wass	wass.x	87/87 LLM-unanimous
y'	yn.x	16/16 LLM-unanimous
yeh	jeh.x	310/310 LLM-unanimous
çheer	cheer.n,cheer.v	46/46 LLM-unanimous
çhing	ching.a,ching.n	18/18 LLM-unanimous
