# adopted form-level resolutions: every occurrence of `form` resolves to `lemmaIds`, context-free
# gated by CorpusSearch.Test/LemmaAdjudication/OverridesAdopter (AdoptionGate): same-lexeme
# narrowings freely; a row dropping a lexeme group only on unanimous evidence at 10+
# observations - the refused stay in the seed for per-line adjudication
form	lemmaIds	evidence
chionn	chionn.a,chionn.v	15/15 LLM-unanimous
chionnagh	kionn.v	31/31 LLM-unanimous
chirree	kirree.n	41/41 LLM-unanimous
chliwe	cliwe.n	5/5 UD
chloan	cloan.n	4/4 UD
chloie	cloie.n	3/3 UD
choayl	coayl.n	4/4 UD
choodee	chood.v,choodee.a	62/62 LLM-unanimous
chooid	cooid.n	19/19 UD
chooilley	chooilley.x	15/15 UD
chooish	cooish.n	9/9 UD
choyrt	coyrt.v	7/7 UD
chreck	creck.v	3/3 UD
chree	cree.n	7/7 UD
chreeney	creeney.a	44/44 LLM-unanimous
chreoi	creoi.a	29/29 LLM-unanimous
chretoor	cretoor.n	3/3 UD
chruinnaght	cruinagh.n	16/16 LLM-unanimous
chur	cur.v	17/17 UD
churrym	currym.n	3/3 UD
chustey	custey.a	22/22 LLM-unanimous
coodagh	coodagh.n	112/112 LLM-unanimous
coodit	coodit.x	77/77 LLM-unanimous
coonee	coonee.a	13/13 LLM-unanimous
creoi	creoi.a	112/112 LLM-unanimous
cronk	cronk.n	253/253 LLM-unanimous
croymmey	croymmey.v	83/83 LLM-unanimous
cuirr	cuirr.v	92/92 LLM-unanimous
currit	currit.x	15/15 UD
currym	currym.n	3/3 UD
dooin	dooin.v,dooin.x	3044/3044 LLM-unanimous
dooyrt	abbyr.v	41/41 UD
dug	cur.v	8/8 UD
dâsyn	dasyn.x	13/13 LLM-unanimous
eayn	eayn.n	177/177 LLM-unanimous
echeysyn	echey.x	541/541 LLM-unanimous
ee	ee.x,ee.v	123/123 UD
eeit	eeit.x	43/43 LLM-unanimous
eh	eh.x	2262/2262 UD
eie	eie.n,eie.v	69/70 LLM-vote sampled
eill	feill.n	374/374 LLM-unanimous
eilley	eilley.n	20/20 LLM-unanimous
eiyr	eiyr.v	56/56 LLM-unanimous
eiyrit	eiyrit.x	52/52 LLM-unanimous
ennagh	ennagh.a	13/13 UD
ennym	ennym.n	16/16 UD
er	er.x	650/655 UD
eshyn	eh.x	35/35 UD
euish	eu.x	283/283 LLM-unanimous
eïe	eie.n,eie.v	27/27 LLM-unanimous
feeagh	feeagh.a,feeagh.n	48/48 LLM-unanimous
foddee	fod.v	21/22 UD
follym	follym.a	76/76 LLM-unanimous
garroo	garroo.a	44/44 LLM-unanimous
gearey	gearey.v	27/27 LLM-unanimous
gerjagh	gerjagh.n	274/274 LLM-unanimous
ghaa	daa.a,daa.x,ghaa.n	282/283 LLM-vote sampled
gharey	garey.n	79/80 LLM-vote sampled
gheddyn	geddyn.v	8/8 UD
gheiney	deiney.n	493/493 LLM-unanimous
gheinnagh	geinnagh.n	20/20 LLM-unanimous
ghennish	gennish.a	10/10 LLM-unanimous
gherjoil	gherjoil.a	11/11 LLM-unanimous
ghlass	glass.a,glass.n,glass.v	14/14 LLM-unanimous
ghloyroil	gloyroil.a	20/20 LLM-unanimous
ghoaill	goaill.v	11/11 UD
gholl	goll.v	11/11 UD
ghooie	dooie.a	64/64 LLM-unanimous
ghooin	dooin.v,dooin.x	11/11 LLM-unanimous
ghooney	dooney.v	13/13 LLM-unanimous
ghow	gow.v	26/26 UD
ghra	gra.v	8/8 UD
ghraih	graih.n	4/4 UD
ghraysoil	graysoil.a	34/34 LLM-unanimous
ghree	cree.n	16/16 LLM-unanimous
gimman	imman.v	24/24 LLM-unanimous
goair	goayr.n	67/67 LLM-unanimous
goit	goit.x	4/4 UD
goo	goo.n	1089/1089 LLM-unanimous
gooish	cooish.n	12/12 LLM-unanimous
gooyl	gooyl.n	36/36 LLM-unanimous
gred	cred.v,creid.x	15/15 LLM-unanimous
haagh	saagh.n	15/15 LLM-unanimous
hack	sack.n	11/11 LLM-unanimous
haink	tar.v	92/92 UD
harrin	harrin.v,harrin.x	58/58 LLM-unanimous
harrym	harrym.x	45/45 LLM-unanimous
hayrn	tayrn.n,tayrn.v	14/14 UD
heu	cheu.n	99/100 LLM-vote sampled
hey	tey.n	24/24 LLM-unanimous
hig	tar.v	4/4 UD
hoie	soie.v,soie.v	12/12 UD
honnick	faik.v	9/9 UD
hooar	fow.v	47/47 UD
hooin	hooin.x	129/129 LLM-unanimous
hurr	surr.v	21/21 LLM-unanimous
hym	hym.x	205/205 LLM-unanimous
ingan	ingan.n	30/30 LLM-unanimous
ish	ee.x	9/9 UD
jannoo	jannoo.v	45/45 UD
jeant	jeant.x	14/14 UD
jeeig	jeeg.x	14/14 LLM-unanimous
jeeragh	jeeragh.a	311/311 LLM-unanimous
jeh	jeh.x	159/159 UD
laa	laa.n	19/19 UD
lhig	lhig.v	2623/2623 LLM-unanimous
lout	lout.n,lout.v	31/31 LLM-unanimous
mayrn	mayrn.x	60/60 LLM-unanimous
mish	mee.x	27/27 UD
moal	moal.a	129/130 LLM-vote sampled
n'gholl	er-n'gholl.v	363/363 LLM-unanimous
nel	bee.v	69/69 UD
nod	fod.v	10/10 UD
oast	oast.a	74/74 LLM-unanimous
ocsyn	oc.x	678/678 LLM-unanimous
ollan	ollan.n	48/48 LLM-unanimous
ollick	ollick.n	106/106 LLM-unanimous
orrinyn	orrin.x	24/24 LLM-unanimous
orroosyn	orroo.x	229/229 LLM-unanimous
orryms	orrym.x	125/125 LLM-unanimous
ort	ort.x	1342/1342 LLM-unanimous
orts	ort.x	75/75 LLM-unanimous
ouyr	fouyr.n	94/94 LLM-unanimous
oyr	oyr.n	956/956 LLM-unanimous
rass	rass.n,rass.v	173/173 LLM-unanimous
rea	rea.a,rea.n	213/213 LLM-unanimous
ren	jean.v	168/168 UD
row	bee.v	44/44 UD
saillym	saillym.x	38/38 LLM-unanimous
share	mie.v	20/20 UD
smessey	olk.v	8/8 UD
smooinee	smooinee.v	3/3 UD
sniemmit	sniemmit.x	26/26 LLM-unanimous
soie	soie.v	3/3 UD
sollys	sollys.a	217/217 LLM-unanimous
sooree	sooree.n,sooree.v	30/30 LLM-unanimous
surr	surr.v	14/14 LLM-unanimous
ta	bee.v	437/437 UD
tannys	tannys.n	18/18 LLM-unanimous
theihll	seihll.n	18/772 LLM-vote sampled
thie	thie.n	37/37 UD
thollee	thollee.x	18/18 LLM-unanimous
thooilley	thooilley.n	99/99 LLM-unanimous
thooit	thooit.x	24/24 LLM-unanimous
toiggalagh	toiggalagh.a	26/26 LLM-unanimous
tooill	sooill.n	13/13 LLM-unanimous
traaghyn	traa.n	106/106 LLM-unanimous
tuittym	tuittym.v,tuittym.n	3/3 UD
uillin	uillin.n	12/12 LLM-unanimous
uss	oo.x	16/16 UD
v'ee	v'ee.x	666/666 LLM-unanimous
va	bee.v	105/105 UD
vaag	faag.v	20/20 LLM-unanimous
vaarle	baarle.n	88/88 LLM-unanimous
vaghey	baghey.v	212/213 LLM-vote sampled
valjyn	valjyn.n	10/10 LLM-unanimous
veaghey	beaghey.n,beaghey.v	219/219 LLM-unanimous
vees	bee.v	4/4 UD
vei	veih.x	206/209 LLM-vote sampled
veih	veih.x	24/24 UD
veisht	beisht.n	46/46 LLM-unanimous
veiyn	beiyn.n	12/12 LLM-unanimous
vel	bee.v	100/100 UD
ver	cur.v	1625/1630 LLM-vote sampled
verym	cur.v	42/42 LLM-unanimous
vhow	bhow.n	39/39 LLM-unanimous
viallys	biallys.n	30/30 LLM-unanimous
vian	mian.n	22/22 LLM-unanimous
viljyn	viljyn.n	19/19 LLM-unanimous
vingys	bingys.n	13/13 LLM-unanimous
vishagh	bish.v,vishagh.v	15/15 LLM-unanimous
vishaghey	bishaghey.v,vishagh.v	156/156 LLM-unanimous
voalley	boalley.n,boalley.x	189/189 LLM-unanimous
voddagh	fod.x,foddagh.v	810/810 LLM-unanimous
voir	moir.n	429/429 LLM-unanimous
voirey	boirey.n,boirey.x	47/47 LLM-unanimous
vooar	mooar.a,mooar.v,mooar.x	666/666 LLM-unanimous
vrasnaghey	brasnaghey.v	150/150 LLM-unanimous
vroojit	broojit.a	10/10 LLM-unanimous
váys	vaaish.n	11/11 LLM-unanimous
warree	mwarree.n	34/34 LLM-unanimous
wass	wass.x	87/87 LLM-unanimous
y'	yn.x	16/16 LLM-unanimous
yeh	jeh.x	310/310 LLM-unanimous
yinnagh	jean.v	5/5 UD
çheer	cheer.n,cheer.v	46/46 LLM-unanimous
çhing	ching.a,ching.n	18/18 LLM-unanimous
